vendorId,productId,Product Owner,Vendor Title,Warehouse Availability,Product Category,Product Title,Inventory,Re-Order_Point,Quantity to Send (15 working days),State,#Shipment in Progress,Warehouse Name,City
0,0,Retail,اتوسرویس برلیان ۱ (مشهد-امام رضا),-,0,لنت ترمز کفشکی عقب تیبا (ریو) عظام,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,اتوسرویس فرتاک (منطقه 5 - سازمان برنامه شمالی),-,0,لنت جلو مناسب سمند ملی،دنا EF7 مدرن تندیس,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,کارواش آفتاب(اصفهان-ملک شهر),-,0,روشویی خودرو های داخلی تیپ 1 و 2,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,مجتمع خدمات خودرویی فرتاک (جاده اندیشه - بلوار اینانلو),-,0,لنت جلو مناسب تیبا و ریو مدرن تندیس,0.0,0.0,0.0,🟥Supply Needed,-,-,0
73768d1d-8463-4c41-98a5-3b755789ded6,0ec32f69-3778-4a9c-9752-674637ce9b9b,Retail,اتوسرویس ایمان ( منطقه 18 - خیابان رجائی),0.0,Bestseller,بهران پیشتاز (SJ 10W40) 3.5 لیتری پلاستیکی,0.0,2.0,0.0,🟥Supply Needed,-,مرکز عملیات-کهریزک,تهران
169f2cea-9584-4c2d-b751-27ddb46af344,a2992824-4afd-4f49-a3b5-6e4baad3bb47,Retail,لاستیک فروشی آذربایجان (تبریز - عباسی),0.0,Regular & Fairly Stable,لاستیک ایران تایر 185/65 R14,0.0,2.0,0.0,🟥Supply Needed,-,مرکز عملیات-کهریزک,تبریز
0,0,Retail,اتو لاستیک مکسس (منطقه 4 - تهرانپارس),-,0,لاستیک ای پلاس 185/60 R14,0.0,0.0,0.0,🟥Supply Needed,-,-,0
5df92c2e-b7dc-4723-ab4c-57cd2297fb84,745be6ca-f3df-44e6-bc91-e66a0eb59001,Retail,اتو سرویس محمودی (اهواز - منبع اب),0.0,Bestseller,سوپر گلدن طلایی(SG 20W50) 4 لیتری پلاستیکی ,0.0,1.0,0.0,🟥Supply Needed,-,مرکز عملیات-اصفهان,اهواز
0,0,Retail,اتوسرویس شهر (قم- یادگار امام),-,0,تیغه برف پاکن پنگوئن 22 اینچ  405 و پارس,0.0,0.0,0.0,🟥Supply Needed,-,-,0
a72c4fe7-e9cf-4864-b2ef-86874b54728f,80d3de9a-e3f9-43d8-9df1-3d889938d56c,Retail,لاستیک محسن (اندیشه فاز 3 - خیابان صنایع),0.0,Bestseller,لاستیک کویر 185/65 R15,0.0,2.0,0.0,🟥Supply Needed,-,مرکز عملیات-کهریزک,تهران
dea6829e-cede-4832-925e-b632df504414,a1fc940d-cacc-4b90-bc7d-2a07d1b521fa,Retail,رینگ و لاستیک محمد(منطقه19 - شهرک شریعتی),0.0,Bestseller,لاستیک کویر 165/65 R13,0.0,1.0,0.0,🟥Supply Needed,-,مرکز عملیات-کهریزک,تهران
0a8ce63f-d646-4512-8499-d30224b1c46f,fc86aeef-f9de-4d26-8ea6-b376bd9aee3b,Retail,تاپ سرویس لواسانی (منطقه 14 - پاسدار گمنام),0.0,Bestseller,ایرانول صبا (SG20W50) 3.5 لیتری,0.0,1.0,0.0,🟥Supply Needed,-,مرکز عملیات-کهریزک,تهران
